name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,agent,national_player,caps/goals,foot,age,current_international,former_international
Braydon Manu,/braydon-manu/profil/spieler/231590,€1.50m,SV Darmstadt 98,GER,"Mar 28, 1997 (26)",Itzehoe,Ghana,"1,70 m",Centre-Forward,,,0 / 0,na,26,,Ghana
Oscar Vilhelmsson,/oscar-vilhelmsson/profil/spieler/673071,€1.50m,SV Darmstadt 98,GER,"Oct 2, 2003 (19)",Åsa,Sweden,"1,88 m",Centre-Forward,,,Jan-00,left,19,Sweden U21,
Fraser Hornby,/fraser-hornby/profil/spieler/388160,€1.00m,SV Darmstadt 98,GER,"Sep 13, 1999 (23)",Northampton,Scotland,"1,95 m",Centre-Forward,,,18 / 10,right,23,,Scotland U21
Aaron Seydel,/aaron-seydel/profil/spieler/187499,€500k,SV Darmstadt 98,GER,"Feb 7, 1996 (27)",Langen (Hessen),Germany,"1,99 m",Centre-Forward,PRO Profil GmbH,,4-Apr,left,27,,Germany U21
Fabio Torsiello,/fabio-torsiello/profil/spieler/917015,€500k,SV Darmstadt 98,GER,"Feb 2, 2005 (18)",Darmstadt,Germany,"1,77 m",Centre-Forward,Sports360 GmbH,Germany U18,Jun-00,right,18,,
Kevin Müller,/kevin-muller/profil/spieler/43824,€800k,1.FC Heidenheim 1846,GER,"Mar 15, 1991 (32)",Rostock,Germany,"1,90 m",Goalkeeper,KL Sportsbase,,Jul-00,right,32,,Germany U20
Vitus Eicher,/vitus-eicher/profil/spieler/57796,€250k,1.FC Heidenheim 1846,GER,"Nov 5, 1990 (32)",Erding,Germany,"1,91 m",Goalkeeper,PRO Profil GmbH,,,left,32,,
Paul Tschernuth,/paul-tschernuth/profil/spieler/519035,€100k,1.FC Heidenheim 1846,GER,"Jan 20, 2002 (21)",Salzburg,Austria,"1,86 m",Goalkeeper,B360 Sports,,Feb-00,left,21,,Austria U18
Frank Feller,/frank-feller/profil/spieler/806948,,1.FC Heidenheim 1846,GER,"Jan 7, 2004 (19)",Leonberg,Germany,"1,83 m",Goalkeeper,,,0 / 0,right,19,Germany U20,
Patrick Mainka,/patrick-mainka/profil/spieler/133731,€2.00m,1.FC Heidenheim 1846,GER,"Nov 6, 1994 (28)",Gütersloh,Germany,"1,94 m",Centre-Back,,,,right,28,,
Tim Siersleben,/tim-siersleben/profil/spieler/337092,€1.50m,1.FC Heidenheim 1846,GER,"Mar 9, 2000 (23)",Magdeburg,Germany,"1,87 m",Centre-Back,,,Feb-00,left,23,,Germany U20
Thomas Keller,/thomas-keller/profil/spieler/485747,€350k,1.FC Heidenheim 1846,GER,"Aug 5, 1999 (24)",München,Germany,"1,86 m",Centre-Back,,,Apr-00,right,24,,Germany U20
Jonas Föhrenbach,/jonas-fohrenbach/profil/spieler/192169,€1.00m,1.FC Heidenheim 1846,GER,"Jan 26, 1996 (27)",Freiburg im Breisgau,Germany,"1,84 m",Left-Back,Unique Sports Group,,0 / 0,left,27,,Germany U20
Seedy Jarju,/seedy-jarju/profil/spieler/824353,,1.FC Heidenheim 1846,GER,"Oct 28, 2004 (18)",Ebo Town,Germany,"1,80 m",Left-Back,,,,left,18,,
Marnon Busch,/marnon-busch/profil/spieler/117478,€1.50m,1.FC Heidenheim 1846,GER,"Dec 8, 1994 (28)",Stade,Germany,"1,82 m",Right-Back,,,Jan-00,right,28,,Germany U15
Omar Haktab Traoré,/omar-haktab-traore/profil/spieler/388294,€400k,1.FC Heidenheim 1846,GER,"Feb 4, 1998 (25)",Osnabrück,Germany,"1,87 m",Right-Back,,,,right,25,,
Lennard Maloney,/lennard-maloney/profil/spieler/392710,€2.00m,1.FC Heidenheim 1846,GER,"Oct 8, 1999 (23)",Berlin,United States,"1,87 m",Defensive Midfield,,,Jan-00,right,23,,USA U20
Benedikt Gimber,/benedikt-gimber/profil/spieler/227084,€1.50m,1.FC Heidenheim 1846,GER,"Feb 19, 1997 (26)",Buchen,Germany,"1,87 m",Defensive Midfield,,,1-Oct,left,26,,Germany U20
