name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,current_international,caps/goals,foot,age,former_international,national_player,agent
Giovanni Di Lorenzo,/giovanni-di-lorenzo/profil/spieler/169880,€25.00m,SSC Napoli,ITA,"Aug 4, 1993 (30)",Castelnuovo di ...,Italy,"1,83 m",Right-Back,Italy,28 / 3,right,30,,,
Alessandro Zanoli,/alessandro-zanoli/profil/spieler/397225,€6.00m,SSC Napoli,ITA,"Oct 3, 2000 (22)",Carpi,Italy,"1,88 m",Right-Back,,Feb-00,right,22,,Italy U21,
Stanislav Lobotka,/stanislav-lobotka/profil/spieler/192735,€40.00m,SSC Napoli,ITA,"Nov 25, 1994 (28)",Trenčín,Slovakia,"1,70 m",Defensive Midfield,Slovakia,45 / 3,na,28,,,FairSport
Diego Demme,/diego-demme/profil/spieler/82070,€3.00m,SSC Napoli,ITA,"Nov 21, 1991 (31)",Herford,Germany,"1,70 m",Defensive Midfield,,Jan-00,right,31,Germany,,
Frank Anguissa,/frank-anguissa/profil/spieler/354361,€40.00m,SSC Napoli,ITA,"Nov 16, 1995 (27)",Yaoundé,Cameroon,"1,84 m",Central Midfield,Cameroon,48 / 5,right,27,,,
Piotr Zielinski,/piotr-zielinski/profil/spieler/181136,€35.00m,SSC Napoli,ITA,"May 20, 1994 (29)",Ząbkowice Śląskie,Poland,"1,80 m",Central Midfield,Poland,82 / 10,na,29,,,
Eljif Elmas,/eljif-elmas/profil/spieler/400489,€26.00m,SSC Napoli,ITA,"Sep 24, 1999 (23)",Skopje,North Macedonia,"1,82 m",Central Midfield,North Macedonia,49 / 11,right,23,,,
Jens Cajuste,/jens-cajuste/profil/spieler/468066,€6.00m,SSC Napoli,ITA,"Aug 10, 1999 (24)",Göteborg,Sweden,"1,88 m",Central Midfield,Sweden,16 / 0,right,24,,,
Jesper Lindstrøm,/jesper-lindstrom/profil/spieler/513245,€28.00m,SSC Napoli,ITA,"Feb 29, 2000 (23)",Taastrup,Denmark,"1,82 m",Attacking Midfield,Denmark,1-Oct,right,23,,,
Gianluca Gaetano,/gianluca-gaetano/profil/spieler/358008,€4.50m,SSC Napoli,ITA,"May 5, 2000 (23)",Cimitile,Italy,"1,83 m",Attacking Midfield,,1-Mar,right,23,Italy U21,,
Khvicha Kvaratskhelia,/khvicha-kvaratskhelia/profil/spieler/502670,€85.00m,SSC Napoli,ITA,"Feb 12, 2001 (22)",Tiflis,Georgia,"1,83 m",Left Winger,Georgia,23 / 10,na,22,,,
Alessio Zerbin,/alessio-zerbin/profil/spieler/433584,€4.00m,SSC Napoli,ITA,"Mar 3, 1999 (24)",Novara,Italy,"1,82 m",Left Winger,,Jan-00,right,24,,Italy,
Matteo Politano,/matteo-politano/profil/spieler/165895,€15.00m,SSC Napoli,ITA,"Aug 3, 1993 (30)",Roma,Italy,"1,71 m",Right Winger,Italy,3-Oct,left,30,,,
Giacomo Raspadori,/giacomo-raspadori/profil/spieler/405885,€35.00m,SSC Napoli,ITA,"Feb 18, 2000 (23)",Bentivoglio,Italy,"1,72 m",Second Striker,Italy,18 / 5,na,23,,,
Victor Osimhen,/victor-osimhen/profil/spieler/401923,€120.00m,SSC Napoli,ITA,"Dec 29, 1998 (24)",Lagos,Nigeria,"1,86 m",Centre-Forward,Nigeria,25 / 17,right,24,,,
Giovanni Simeone,/giovanni-simeone/profil/spieler/282388,€15.00m,SSC Napoli,ITA,"Jul 5, 1995 (28)",Buenos Aires,Argentina,"1,80 m",Centre-Forward,,1-Jun,right,28,,Argentina,
Mike Maignan,/mike-maignan/profil/spieler/182906,€45.00m,AC Milan,ITA,"Jul 3, 1995 (28)",Cayenne,France,"1,91 m",Goalkeeper,France,Sep-00,right,28,,,
Marco Sportiello,/marco-sportiello/profil/spieler/199976,€1.50m,AC Milan,ITA,"May 10, 1992 (31)",Desio,Italy,"1,92 m",Goalkeeper,,0 / 0,right,31,Italy U21,,
Lapo Nava,/lapo-nava/profil/spieler/815563,€150k,AC Milan,ITA,"Jan 22, 2004 (19)",Milano,Italy,,Goalkeeper,,,right,19,,,
Antonio Mirante,/antonio-mirante/profil/spieler/22141,€100k,AC Milan,ITA,"Jul 8, 1983 (40)",Castellammare di ...,Italy,"1,93 m",Goalkeeper,,0 / 0,right,40,Italy,,GG11
Fikayo Tomori,/fikayo-tomori/profil/spieler/303254,€40.00m,AC Milan,ITA,"Dec 19, 1997 (25)","Calgary, Alberta",England,"1,85 m",Centre-Back,England,Mar-00,right,25,,,
Pierre Kalulu,/pierre-kalulu/profil/spieler/585949,€30.00m,AC Milan,ITA,"Jun 5, 2000 (23)",Lyon,France,"1,82 m",Centre-Back,,15 / 2,right,23,,France U21,CAA Stellar
Malick Thiaw,/malick-thiaw/profil/spieler/521964,€20.00m,AC Milan,ITA,"Aug 8, 2001 (22)",Düsseldorf,Germany,"1,94 m",Centre-Back,Germany,Feb-00,right,22,,,Unique Sports Group
Simon Kjaer,/simon-kjaer/profil/spieler/48859,€3.50m,AC Milan,ITA,"Mar 26, 1989 (34)",Horsens,Denmark,"1,91 m",Centre-Back,Denmark,125 / 5,right,34,,,
Mattia Caldara,/mattia-caldara/profil/spieler/197470,€2.00m,AC Milan,ITA,"May 5, 1994 (29)",Bergamo,Italy,"1,87 m",Centre-Back,,Feb-00,right,29,Italy,,
Marco Pellegrino,/marco-pellegrino/profil/spieler/776303,€400k,AC Milan,ITA,"Jul 18, 2002 (21)",Buenos Aires,Argentina,"1,84 m",Centre-Back,,,left,21,,,
Theo Hernández,/theo-hernandez/profil/spieler/339808,€60.00m,AC Milan,ITA,"Oct 6, 1997 (25)",Marseille,France,"1,84 m",Left-Back,France,18 / 2,left,25,,,
Davide Calabria,/davide-calabria/profil/spieler/262523,€20.00m,AC Milan,ITA,"Dec 6, 1996 (26)",Brescia,Italy,"1,76 m",Right-Back,,Jul-00,right,26,Italy,,
Alessandro Florenzi,/alessandro-florenzi/profil/spieler/130365,€2.00m,AC Milan,ITA,"Mar 11, 1991 (32)",Roma,Italy,"1,73 m",Right-Back,,49 / 2,right,32,Italy,,
Ismaël Bennacer,/ismael-bennacer/profil/spieler/351816,€40.00m,AC Milan,ITA,"Dec 1, 1997 (25)",Arles,Algeria,"1,75 m",Defensive Midfield,,46 / 2,left,25,,Algeria,Team Raiola
Ruben Loftus-Cheek,/ruben-loftus-cheek/profil/spieler/202886,€25.00m,AC Milan,ITA,"Jan 23, 1996 (27)",London,England,"1,91 m",Central Midfield,,Oct-00,right,27,England,,CAA Stellar
