name,url,value,club_name,country_league,dob_and_age,birth_place,citizenship,height,postion,current_international,caps/goals,foot,age,former_international,national_player,agent
Ondrej Duda,/ondrej-duda/profil/spieler/232418,€3.40m,Hellas Verona,ITA,"Dec 5, 1994 (28)",Snina,Slovakia,"1,81 m",Attacking Midfield,Slovakia,63 / 10,right,28,,,CAA Stellar
Tomas Suslov,/tomas-suslov/profil/spieler/540333,€2.00m,Hellas Verona,ITA,"Jun 7, 2002 (21)",Spišská Nová Ves,Slovakia,"1,73 m",Attacking Midfield,Slovakia,18 / 1,left,21,,,
Riccardo Saponara,/riccardo-saponara/profil/spieler/88909,€2.00m,Hellas Verona,ITA,"Dec 21, 1991 (31)",Forlì,Italy,"1,84 m",Attacking Midfield,,22 / 3,right,31,Italy U21,,
Ajdin Hrustic,/ajdin-hrustic/profil/spieler/265625,€1.50m,Hellas Verona,ITA,"Jul 5, 1996 (27)",Melbourne,Australia,"1,80 m",Attacking Midfield,,24 / 3,left,27,,Australia,
Cyril Ngonge,/cyril-ngonge/profil/spieler/358032,€2.00m,Hellas Verona,ITA,"May 26, 2000 (23)",Ukkel,Belgium,"1,79 m",Right Winger,,0 / 0,left,23,Belgium U21,,
Jackson Tchatchoua,/jackson-tchatchoua/profil/spieler/848509,€2.00m,Hellas Verona,ITA,"Sep 14, 2001 (21)",Ixelles,Belgium,"1,78 m",Right Winger,Cameroon U23,0 / 0,right,21,,,
Yayah Kallon,/yayah-kallon/profil/spieler/623040,€1.50m,Hellas Verona,ITA,"Jun 30, 2001 (22)",Koidu-Sefadu,Sierra Leone,"1,75 m",Right Winger,,0 / 0,left,22,Sierra Leone,,
Jordi Mboula,/jordi-mboula/profil/spieler/331498,€1.20m,Hellas Verona,ITA,"Mar 16, 1999 (24)",Granollers,Spain,"1,83 m",Right Winger,,0 / 0,right,24,Spain U21,,Universal Twenty Two
Thomas Henry,/thomas-henry/profil/spieler/412513,€4.00m,Hellas Verona,ITA,"Sep 20, 1994 (28)",Argenteuil,France,"1,91 m",Centre-Forward,,,right,28,,,
Federico Bonazzoli,/federico-bonazzoli/profil/spieler/241527,€4.00m,Hellas Verona,ITA,"May 21, 1997 (26)",Manerbio,Italy,"1,82 m",Centre-Forward,,2-Sep,left,26,Italy U21,,
Jayden Braaf,/jayden-braaf/profil/spieler/470391,€1.00m,Hellas Verona,ITA,"Aug 31, 2002 (21)",Amsterdam,Netherlands,"1,80 m",Centre-Forward,,2-Mar,right,21,Netherlands U18,,CAA Stellar
Milan Djuric,/milan-djuric/profil/spieler/67556,€1.00m,Hellas Verona,ITA,"May 22, 1990 (33)",Tuzla,Bosnia-Herzegovina,"1,99 m",Centre-Forward,,15 / 7,right,33,Bosnia,,
Wladimiro Falcone,/wladimiro-falcone/profil/spieler/238537,€5.00m,US Lecce,ITA,"Apr 12, 1995 (28)",Roma,Italy,"1,95 m",Goalkeeper,,0 / 0,right,28,,Italy,
Federico Brancolini,/federico-brancolini/profil/spieler/451154,€200k,US Lecce,ITA,"Jul 14, 2001 (22)",Modena,Italy,"1,92 m",Goalkeeper,,0 / 0,right,22,Italy U21,,
Alexandru Borbei,/alexandru-borbei/profil/spieler/667640,€150k,US Lecce,ITA,"Jun 27, 2003 (20)",Petrila,Romania,"1,83 m",Goalkeeper,Romania U21,0 / 0,right,20,,,
Jasper Samooja,/jasper-samooja/profil/spieler/712911,€75k,US Lecce,ITA,"Jul 21, 2003 (20)",,Finland,"1,89 m",Goalkeeper,,,,20,,,PRO Profil GmbH
Antonino Viola,/antonino-viola/profil/spieler/738119,€75k,US Lecce,ITA,"Jul 14, 2003 (20)",Palermo,Italy,"1,90 m",Goalkeeper,,,,20,,,
Federico Baschirotto,/federico-baschirotto/profil/spieler/351955,€8.00m,US Lecce,ITA,"Sep 20, 1996 (26)",Isola della Scala,Italy,"1,87 m",Centre-Back,,0 / 0,right,26,Italy,,
Marin Pongracic,/marin-pongracic/profil/spieler/282144,€4.00m,US Lecce,ITA,"Sep 11, 1997 (26)",Landshut,Croatia,"1,93 m",Centre-Back,,May-00,right,26,Croatia,,Match2gether
Ahmed Touba,/ahmed-touba/profil/spieler/325924,€3.30m,US Lecce,ITA,"Mar 13, 1998 (25)",Roubaix,Algeria,"1,90 m",Centre-Back,Algeria,1-Nov,left,25,,,
Kastriot Dermaku,/kastriot-dermaku/profil/spieler/163647,€400k,US Lecce,ITA,"Jan 15, 1992 (31)",Scandiano,Albania,"1,94 m",Centre-Back,,13 / 1,right,31,Albania,,
Zinedin Smajlovic,/zinedin-smajlovic/profil/spieler/958649,€100k,US Lecce,ITA,"Dec 20, 2003 (19)",Stockholm,Bosnia-Herzegovina,"1,91 m",Centre-Back,Bosnia U21,0 / 0,,19,,,
Antonino Gallo,/antonino-gallo/profil/spieler/392516,€2.50m,US Lecce,ITA,"Jan 5, 2000 (23)",Palermo,Italy,"1,83 m",Left-Back,,Jan-00,left,23,,Italy U21,
Patrick Dorgu,/patrick-dorgu/profil/spieler/926952,€400k,US Lecce,ITA,"Oct 26, 2004 (18)",,Denmark,"1,75 m",Left-Back,Denmark U20,0 / 0,left,18,,,
Valentin Gendrey,/valentin-gendrey/profil/spieler/569387,€4.00m,US Lecce,ITA,"Jun 21, 2000 (23)",La Garenne-Colombes,France,"1,79 m",Right-Back,,Feb-00,right,23,,France U21,
Lorenzo Venuti,/lorenzo-venuti/profil/spieler/240219,€2.00m,US Lecce,ITA,"Apr 12, 1995 (28)",Montevarchi,Italy,"1,79 m",Right-Back,,Jan-00,right,28,Italy U21,,Team Raiola
Alexis Blin,/alexis-blin/profil/spieler/236041,€2.50m,US Lecce,ITA,"Sep 16, 1996 (26)",Le Mans,France,"1,84 m",Defensive Midfield,,Feb-00,right,26,France U21,,Kemari
Ylber Ramadani,/ylber-ramadani/profil/spieler/442703,€800k,US Lecce,ITA,"Apr 12, 1996 (27)",Starnberg,Albania,"1,85 m",Defensive Midfield,Albania,29 / 1,right,27,,,
Giacomo Faticanti,/giacomo-faticanti/profil/spieler/651002,€800k,US Lecce,ITA,"Jul 31, 2004 (19)",Roma,Italy,"1,86 m",Defensive Midfield,Italy U20,Aug-00,right,19,,,
Joan González,/joan-gonzalez/profil/spieler/692209,€6.00m,US Lecce,ITA,"Feb 1, 2002 (21)",Barcelona,Spain,"1,90 m",Central Midfield,,,right,21,,,
Mohamed Kaba,/mohamed-kaba/profil/spieler/911328,€3.00m,US Lecce,ITA,"Oct 27, 2001 (21)",Orléans,France,"1,85 m",Central Midfield,,,right,21,,,
Hamza Rafia,/hamza-rafia/profil/spieler/418571,€600k,US Lecce,ITA,"Apr 2, 1999 (24)",Kalaat Senan,Tunisia,"1,81 m",Central Midfield,Tunisia,20 / 0,right,24,,,
Medon Berisha,/medon-berisha/profil/spieler/583046,€500k,US Lecce,ITA,"Oct 21, 2003 (19)",Münsingen,Albania,"1,86 m",Central Midfield,Albania U21,1-May,right,19,,,
Lameck Banda,/lameck-banda/profil/spieler/545538,€4.00m,US Lecce,ITA,"Jan 29, 2001 (22)",Lusaka,Zambia,"1,69 m",Left Winger,Zambia,2-Aug,right,22,,,
